0,0
0.1,0.09983341664682815
0.2,0.19866933079506122
0.3,0.29552020666133955
0.4,0.3894183423086505
0.5,0.479425538604203
0.6,0.5646424733950354
0.7,0.644217687237691
0.8,0.7173560908995227
0.9,0.7833269096274834
1,0.8414709848078965
1.1,0.8912073600614354
1.2,0.9320390859672264
1.3,0.963558185417193
1.4,0.9854497299884601
1.5,0.9974949866040544
1.6,0.9995736030415051
1.7,0.9916648104524687
1.8,0.9738476308781951
1.9,0.9463000876874145
2,0.9092974268256816
2.1,0.8632093666488737
2.2,0.8084964038195901
2.3,0.7457052121767203
2.4,0.675463180551151
2.5,0.5984721441039564
2.6,0.5155013718214642
2.7,0.4273798802338298
2.8,0.33498815015590505
2.9,0.2392493292139824
3,0.1411200080598672
3.1,0.04158066243329049
3.2,-0.058374143427580086
3.3,-0.1577456941432482
3.4,-0.2555411020268312
3.5,-0.35078322768961984
3.6,-0.44252044329485246
3.7,-0.5298361409084934
3.8,-0.6118578909427189
3.9,-0.6877661591839738
4,-0.7568024953079282
4.1,-0.8182771110644103
4.2,-0.8715757724135882
4.3,-0.9161659367494549
4.4,-0.951602073889516
4.5,-0.977530117665097
4.6,-0.9936910036334645
4.7,-0.9999232575641009
4.8,-0.9961646088358407
4.9,-0.9824526126243325
5,-0.9589242746631385
5.1,-0.9258146823277323
5.2,-0.8834546557201532
5.3,-0.8322674422239013
5.4,-0.7727644875559871
5.5,-0.7055403255703919
5.6,-0.6312666378723216
5.7,-0.5506855425976376
5.8,-0.46460217941375737
5.9,-0.373876664830236
6,-0.27941549819892586
6.1,-0.1821625042720959
6.2,-0.08308940281749641
6.3,0.016813900484349713
6.4,0.11654920485049364
6.5,0.21511998808781552
6.6,0.31154136351337786
6.7,0.40484992061659836
6.8,0.4941133511386082
6.9,0.5784397643882002
7,0.6569865987187891
7.1,0.7289690401258759
7.2,0.7936678638491531
7.3,0.8504366206285644
7.4,0.8987080958116269
7.5,0.9379999767747389
7.6,0.9679196720314864
7.7,0.9881682338770004
7.8,0.998543345374605
7.9,0.998941341839772
8,0.9893582466233817
8.1,0.9698898108450863
8.2,0.9407305566797731
8.3,0.9021718337562933
8.4,0.8545989080882804
8.5,0.7984871126234903
8.6,0.7343970978741133
8.7,0.6629692300821833
8.8,0.5849171928917617
8.9,0.5010208564578846
9,0.4121184852417566
9.1,0.3190983623493521
9.2,0.22288991410024764
9.3,0.12445442350706169
9.4,0.024775425453357765
9.5,-0.07515112046180931
9.6,-0.17432678122297965
9.7,-0.2717606264109424
9.8,-0.3664791292519284
9.9,-0.45753589377532133
